education_level,skill_1,skill_2,skill_3,skill_4,experience,logical_quotient_rating,coding_skills_rating,self-learning_capability?,interested_technology,interested_career_area,type_of_company,management_or_technical,suggested_job_role
Master,JavaScript,HTML,CSS,C++,5,2,5,yes,cloud computing,cloud computing,Testing and Maintainance Services,Management,Applications Developer
Master,Python,HTML,C++,JavaScript,4,6,3,yes,networks,Business process analyst,Sales and Marketing,Technical,Applications Developer
Bachelor,CSS,HTML,Java,JavaScript,6,4,7,yes,networks,developer,Testing and Maintainance Services,Management,Applications Developer
Bachelor,JavaScript,HTML,Python,CSS,7,1,7,yes,Computer Architecture,testing,Service Based,Management,Applications Developer
Bachelor,HTML,CSS,Python,C++,5,5,3,yes,IOT,security,BPA,Technical,Applications Developer
Bachelor,CSS,JavaScript,HTML,C++,8,4,7,no,parallel computing,testing,Testing and Maintainance Services,Management,Applications Developer
Bachelor,HTML,CSS,Python,Java,6,9,3,no,Computer Architecture,cloud computing,Web Services,Management,Applications Developer
Bachelor,CSS,HTML,Java,C++,0,3,4,yes,programming,Business process analyst,Service Based,Management,Applications Developer
Master,Java,Python,JavaScript,CSS,4,3,9,no,Software Engineering,system developer,product development,Management,Applications Developer
Master,Java,C++,Python,JavaScript,1,6,8,no,Management,testing,SAaS services,Technical,Applications Developer
Master,Java,CSS,Python,JavaScript,9,2,2,yes,Computer Architecture,cloud computing,Finance,Management,Applications Developer
Bachelor,JavaScript,Python,HTML,C++,2,2,5,no,hacking,system developer,Finance,Management,Applications Developer
Bachelor,CSS,Python,JavaScript,Java,3,8,4,yes,cloud computing,developer,Sales and Marketing,Technical,Applications Developer
Bachelor,Python,JavaScript,C++,Java,8,5,2,no,networks,cloud computing,Testing and Maintainance Services,Technical,Applications Developer
Master,HTML,Java,C++,Python,10+,8,8,no,Management,Business process analyst,BPA,Management,Applications Developer
Master,C++,CSS,Python,JavaScript,3,2,1,yes,data engineering,security,Web Services,Technical,Applications Developer
Bachelor,CSS,Java,HTML,C++,8,5,5,no,Computer Architecture,system developer,Testing and Maintainance Services,Management,Applications Developer
Master,Python,Java,CSS,JavaScript,9,9,4,yes,hacking,cloud computing,Testing and Maintainance Services,Technical,Applications Developer
Master,HTML,JavaScript,Python,CSS,8,5,7,no,networks,security,Web Services,Technical,Applications Developer
Bachelor,Java,Python,C++,HTML,10+,4,8,yes,Management,cloud computing,Sales and Marketing,Management,Applications Developer
Master,CSS,C++,HTML,Python,6,9,7,yes,Computer Architecture,cloud computing,Cloud Services,Technical,Applications Developer
Bachelor,Java,C++,CSS,JavaScript,3,5,1,yes,hacking,developer,Finance,Technical,Applications Developer
Master,Python,JavaScript,HTML,CSS,10+,1,1,yes,Computer Architecture,developer,Service Based,Technical,Applications Developer
Master,Python,JavaScript,HTML,CSS,1,7,6,yes,networks,testing,Sales and Marketing,Management,Applications Developer
Bachelor,JavaScript,Java,CSS,Python,8,3,6,no,Software Engineering,system developer,Service Based,Management,Applications Developer
Master,JavaScript,C++,Java,HTML,5,6,5,no,Software Engineering,security,Product based,Technical,Applications Developer
Bachelor,Java,HTML,JavaScript,C++,1,1,5,yes,data engineering,Business process analyst,Service Based,Management,Applications Developer
Master,Python,HTML,JavaScript,C++,4,4,1,yes,Computer Architecture,testing,Sales and Marketing,Management,Applications Developer
Master,C++,CSS,Python,Java,6,1,3,yes,data engineering,security,BPA,Technical,Applications Developer
Master,Java,HTML,CSS,JavaScript,2,5,5,no,parallel computing,developer,Cloud Services,Technical,Applications Developer
Bachelor,HTML,CSS,JavaScript,Python,5,9,9,yes,Software Engineering,testing,Product based,Management,Applications Developer
Master,Java,JavaScript,Python,CSS,7,2,9,yes,cloud computing,system developer,Cloud Services,Management,Applications Developer
Master,Python,HTML,C++,JavaScript,0,4,5,no,programming,system developer,Testing and Maintainance Services,Technical,Applications Developer
Master,C++,CSS,HTML,Java,1,1,5,yes,Software Engineering,developer,Service Based,Management,Applications Developer
Master,HTML,Java,CSS,Python,1,1,7,yes,programming,system developer,Product based,Management,Applications Developer
Bachelor,C++,CSS,JavaScript,Java,6,7,2,no,networks,developer,product development,Management,Applications Developer
Bachelor,JavaScript,C++,HTML,Python,10+,8,9,yes,IOT,developer,Web Services,Management,Applications Developer
Master,HTML,C++,Python,Java,5,1,3,no,Computer Architecture,system developer,product development,Technical,Applications Developer
Bachelor,Python,CSS,C++,Java,2,5,7,yes,parallel computing,testing,SAaS services,Technical,Applications Developer
Bachelor,Java,CSS,Python,C++,7,9,3,no,Computer Architecture,security,product development,Management,Applications Developer
Master,CSS,JavaScript,HTML,Python,3,4,1,yes,parallel computing,cloud computing,Testing and Maintainance Services,Technical,Applications Developer
Bachelor,C++,JavaScript,HTML,Python,2,6,7,no,parallel computing,Business process analyst,Finance,Technical,Applications Developer
Master,Python,Java,JavaScript,C++,10,6,7,yes,parallel computing,testing,product development,Technical,Applications Developer
Master,Python,JavaScript,CSS,C++,2,4,1,yes,hacking,Business process analyst,Product based,Management,Applications Developer
Master,C++,JavaScript,Python,Java,10+,4,8,no,programming,Business process analyst,BPA,Technical,Applications Developer
Master,Python,JavaScript,CSS,C++,6,6,2,no,networks,security,SAaS services,Management,Applications Developer
Bachelor,Python,Java,CSS,JavaScript,5,1,6,no,cloud computing,security,Testing and Maintainance Services,Management,Applications Developer
Bachelor,Java,Python,C++,CSS,1,3,5,no,Computer Architecture,developer,Finance,Management,Applications Developer
Master,CSS,C++,Python,HTML,6,8,4,yes,parallel computing,cloud computing,Product based,Management,Applications Developer
Master,JavaScript,HTML,CSS,Python,5,5,3,no,networks,cloud computing,product development,Technical,Applications Developer
Bachelor,C++,CSS,JavaScript,Python,10,1,2,yes,cloud computing,system developer,Finance,Technical,Applications Developer
Bachelor,CSS,HTML,Python,Java,8,4,5,no,Management,cloud computing,Sales and Marketing,Management,Applications Developer
Master,Java,JavaScript,C++,CSS,5,3,3,yes,programming,cloud computing,Finance,Technical,Applications Developer
Master,C++,Java,CSS,JavaScript,7,2,3,yes,networks,cloud computing,BPA,Management,Applications Developer
Bachelor,Python,C++,CSS,Java,9,2,7,no,parallel computing,Business process analyst,Testing and Maintainance Services,Management,Applications Developer
Master,CSS,C++,Java,HTML,4,6,9,no,Software Engineering,security,Finance,Technical,Applications Developer
Master,JavaScript,CSS,Python,C++,9,3,6,yes,Management,testing,Product based,Technical,Applications Developer
Bachelor,Java,C++,HTML,CSS,5,3,5,yes,hacking,cloud computing,Web Services,Management,Applications Developer
Bachelor,Python,Java,C++,JavaScript,10+,7,6,yes,Computer Architecture,security,Testing and Maintainance Services,Technical,Applications Developer
Bachelor,HTML,Java,C++,CSS,8,3,4,no,cloud computing,system developer,Sales and Marketing,Technical,Applications Developer
Master,C++,Python,JavaScript,HTML,4,6,3,no,cloud computing,security,Cloud Services,Management,Applications Developer
Bachelor,Python,HTML,JavaScript,C++,2,1,7,yes,parallel computing,developer,Product based,Technical,Applications Developer
Bachelor,Python,C++,JavaScript,CSS,1,6,2,yes,programming,testing,Web Services,Technical,Applications Developer
Bachelor,C++,Python,JavaScript,Java,10+,6,7,yes,cloud computing,Business process analyst,Product based,Management,Applications Developer
Master,CSS,Java,HTML,JavaScript,1,1,6,no,hacking,security,Product based,Management,Applications Developer
Bachelor,Java,HTML,JavaScript,CSS,0,5,2,no,hacking,developer,SAaS services,Technical,Applications Developer
Master,HTML,Python,C++,Java,0,5,2,no,IOT,cloud computing,Finance,Management,Applications Developer
Master,C++,Python,JavaScript,Java,0,6,3,no,Management,cloud computing,Testing and Maintainance Services,Management,Applications Developer
Bachelor,Python,C++,Java,HTML,8,4,2,yes,IOT,developer,SAaS services,Technical,Applications Developer
Master,Python,Java,CSS,C++,0,2,7,no,Computer Architecture,system developer,Finance,Technical,Applications Developer
Master,Java,C++,Python,HTML,7,6,4,yes,IOT,Business process analyst,BPA,Technical,Applications Developer
Bachelor,Python,C++,CSS,JavaScript,7,6,9,no,Management,developer,Sales and Marketing,Management,Applications Developer
Bachelor,CSS,Python,C++,HTML,5,3,7,yes,programming,cloud computing,Product based,Technical,Applications Developer
Bachelor,Python,JavaScript,C++,HTML,3,9,5,no,Management,cloud computing,product development,Management,Applications Developer
Master,JavaScript,HTML,C++,Python,10,3,4,yes,IOT,cloud computing,product development,Technical,Applications Developer
Master,Java,HTML,Python,CSS,1,3,1,no,cloud computing,developer,Service Based,Management,Applications Developer
Bachelor,HTML,Python,Java,JavaScript,1,2,2,yes,parallel computing,developer,Web Services,Technical,Applications Developer
Master,C++,Java,Python,JavaScript,3,5,9,yes,hacking,developer,Service Based,Management,Applications Developer
Master,CSS,Python,JavaScript,Java,8,6,4,no,parallel computing,system developer,Finance,Management,Applications Developer
Master,Java,HTML,Python,JavaScript,8,3,1,yes,IOT,cloud computing,Web Services,Technical,Applications Developer
Master,CSS,C++,JavaScript,HTML,8,9,4,no,IOT,Business process analyst,Service Based,Management,Applications Developer
Bachelor,CSS,JavaScript,Java,HTML,9,4,6,no,Computer Architecture,developer,Sales and Marketing,Technical,Applications Developer
Master,JavaScript,CSS,C++,Python,2,1,7,no,hacking,security,BPA,Technical,Applications Developer
Master,C++,Java,Python,HTML,2,4,8,no,networks,testing,Service Based,Technical,Applications Developer
Bachelor,HTML,C++,JavaScript,Java,9,4,8,yes,cloud computing,security,Finance,Management,Applications Developer
Master,HTML,Java,Python,CSS,9,8,1,yes,Computer Architecture,system developer,Web Services,Technical,Applications Developer
Bachelor,JavaScript,Java,Python,HTML,0,4,2,no,programming,cloud computing,Sales and Marketing,Management,Applications Developer
Bachelor,Java,C++,JavaScript,CSS,0,5,7,no,Management,system developer,SAaS services,Technical,Applications Developer
Bachelor,CSS,C++,HTML,Python,2,2,2,yes,Computer Architecture,Business process analyst,Cloud Services,Management,Applications Developer
Bachelor,JavaScript,Python,HTML,C++,1,8,2,no,parallel computing,testing,Finance,Technical,Applications Developer
Master,C++,JavaScript,CSS,HTML,5,2,4,yes,programming,system developer,Web Services,Technical,Applications Developer
Master,HTML,JavaScript,Java,C++,10+,2,9,no,programming,system developer,product development,Management,Applications Developer
Bachelor,Java,HTML,CSS,C++,6,7,9,yes,Software Engineering,cloud computing,Cloud Services,Technical,Applications Developer
Master,Java,HTML,Python,JavaScript,10+,5,6,no,Management,testing,Finance,Technical,Applications Developer
Master,C++,CSS,HTML,Java,0,6,2,yes,parallel computing,developer,SAaS services,Technical,Applications Developer
Master,Python,C++,CSS,Java,10+,9,1,no,parallel computing,Business process analyst,Cloud Services,Management,Applications Developer
Bachelor,CSS,C++,JavaScript,HTML,4,4,6,no,Computer Architecture,developer,Sales and Marketing,Management,Applications Developer
Master,Java,JavaScript,Python,C++,1,6,1,no,programming,developer,Cloud Services,Technical,Applications Developer
Bachelor,Java,Python,CSS,HTML,2,5,7,yes,cloud computing,Business process analyst,BPA,Technical,Applications Developer
Master,JavaScript,C++,Java,Python,5,7,8,yes,cloud computing,Business process analyst,Cloud Services,Management,Applications Developer
Master,CSS,JavaScript,Java,C++,10+,6,6,no,programming,testing,Service Based,Management,Applications Developer
Bachelor,Python,C++,Java,CSS,0,5,6,yes,cloud computing,system developer,Web Services,Management,Applications Developer
Bachelor,JavaScript,Java,Python,CSS,0,2,4,yes,programming,security,Product based,Management,Applications Developer
Bachelor,CSS,Java,Python,JavaScript,9,2,1,yes,programming,Business process analyst,Testing and Maintainance Services,Technical,Applications Developer
Master,C++,Java,HTML,JavaScript,5,4,8,no,Management,Business process analyst,Sales and Marketing,Technical,Applications Developer
Master,Java,Python,C++,HTML,10,7,3,no,Computer Architecture,testing,Web Services,Technical,Applications Developer
Master,HTML,C++,Python,JavaScript,6,4,8,yes,cloud computing,testing,Testing and Maintainance Services,Management,Applications Developer
Bachelor,CSS,C++,HTML,JavaScript,2,4,7,yes,Management,Business process analyst,Product based,Technical,Applications Developer
Master,CSS,C++,Python,HTML,9,4,2,no,IOT,system developer,Testing and Maintainance Services,Management,Applications Developer
Bachelor,CSS,C++,Java,JavaScript,7,7,6,yes,data engineering,system developer,SAaS services,Technical,Applications Developer
Master,C++,Java,CSS,JavaScript,3,1,5,yes,IOT,cloud computing,product development,Management,Applications Developer
Bachelor,HTML,JavaScript,Python,C++,2,9,9,no,IOT,developer,Service Based,Management,Applications Developer
Master,Python,C++,HTML,JavaScript,3,3,4,no,data engineering,developer,Sales and Marketing,Technical,Applications Developer
Master,C++,Python,CSS,HTML,7,2,7,yes,Management,system developer,Testing and Maintainance Services,Technical,Applications Developer
Master,HTML,C++,JavaScript,CSS,3,1,8,no,hacking,testing,Finance,Management,Applications Developer
Master,Java,C++,HTML,JavaScript,6,6,5,no,data engineering,testing,Sales and Marketing,Management,Applications Developer
Master,Python,JavaScript,Java,CSS,2,1,7,no,data engineering,security,SAaS services,Technical,Applications Developer
Master,CSS,HTML,C++,Python,6,1,7,no,hacking,cloud computing,SAaS services,Management,Applications Developer
Bachelor,Python,JavaScript,HTML,Java,7,8,2,no,cloud computing,security,Web Services,Technical,Applications Developer
Master,C++,CSS,JavaScript,Java,5,5,7,yes,hacking,cloud computing,Sales and Marketing,Management,Applications Developer
Bachelor,C++,JavaScript,Java,CSS,2,6,1,no,Software Engineering,system developer,SAaS services,Technical,Applications Developer
Bachelor,CSS,JavaScript,C++,Java,1,3,3,yes,networks,security,Sales and Marketing,Technical,Applications Developer
Bachelor,JavaScript,Java,CSS,C++,3,4,7,yes,Computer Architecture,testing,Testing and Maintainance Services,Technical,Applications Developer
Bachelor,Java,HTML,Python,C++,8,3,8,yes,IOT,developer,Cloud Services,Technical,Applications Developer
Master,Python,JavaScript,CSS,HTML,10,2,2,yes,programming,testing,Product based,Technical,Applications Developer
Bachelor,CSS,HTML,Python,Java,1,9,8,no,Management,cloud computing,Web Services,Management,Applications Developer
Bachelor,HTML,CSS,JavaScript,Java,5,9,5,no,Management,security,Testing and Maintainance Services,Technical,Applications Developer
Master,Python,Java,HTML,CSS,5,3,2,no,Computer Architecture,testing,Sales and Marketing,Technical,Applications Developer
Master,Java,Python,JavaScript,C++,1,7,8,yes,cloud computing,cloud computing,Finance,Technical,Applications Developer
Master,Python,HTML,CSS,C++,6,1,8,no,data engineering,developer,Sales and Marketing,Management,Applications Developer
Master,JavaScript,Java,Python,C++,9,7,8,no,programming,system developer,SAaS services,Technical,Applications Developer
Bachelor,JavaScript,Java,Python,HTML,10,2,8,no,Management,Business process analyst,SAaS services,Management,Applications Developer
Bachelor,HTML,CSS,Java,JavaScript,10+,1,2,no,Management,system developer,SAaS services,Technical,Applications Developer
Bachelor,CSS,Java,HTML,C++,10,1,3,no,Software Engineering,Business process analyst,Testing and Maintainance Services,Management,Applications Developer
Master,Java,C++,Python,JavaScript,4,2,7,yes,hacking,testing,Finance,Technical,Applications Developer
Bachelor,JavaScript,HTML,Python,CSS,3,1,5,yes,Computer Architecture,system developer,Product based,Technical,Applications Developer
Bachelor,Python,Java,CSS,HTML,4,1,4,yes,cloud computing,Business process analyst,Product based,Management,Applications Developer
Master,HTML,Python,JavaScript,Java,6,6,9,yes,cloud computing,Business process analyst,Product based,Management,Applications Developer
Master,C++,Java,CSS,Python,1,8,9,yes,networks,developer,Cloud Services,Technical,Applications Developer
Bachelor,Java,Python,CSS,C++,1,7,1,no,Software Engineering,security,Web Services,Management,Applications Developer
Master,JavaScript,HTML,Python,Java,9,3,5,yes,Software Engineering,security,Sales and Marketing,Management,Applications Developer
Master,C++,Java,HTML,Python,5,3,3,yes,programming,developer,Service Based,Management,Applications Developer
Master,Java,HTML,JavaScript,C++,10,3,2,yes,Management,system developer,Sales and Marketing,Technical,Applications Developer
Master,C++,JavaScript,HTML,Java,7,1,9,no,Computer Architecture,developer,Sales and Marketing,Management,Applications Developer
Master,HTML,C++,Python,JavaScript,4,7,9,no,cloud computing,security,Testing and Maintainance Services,Technical,Applications Developer
Master,CSS,Java,Python,HTML,10,8,1,no,Software Engineering,developer,SAaS services,Management,Applications Developer
Master,Python,Java,CSS,JavaScript,2,7,9,yes,parallel computing,cloud computing,Web Services,Technical,Applications Developer
Master,C++,Python,HTML,Java,6,5,1,no,cloud computing,security,BPA,Technical,Applications Developer
Bachelor,Python,C++,Java,HTML,3,1,7,no,hacking,developer,SAaS services,Technical,Applications Developer
Master,Python,Java,C++,JavaScript,9,8,7,yes,IOT,system developer,Cloud Services,Management,Applications Developer
Master,CSS,Python,HTML,Java,2,1,6,no,Computer Architecture,system developer,BPA,Technical,Applications Developer
Master,Python,Java,CSS,C++,3,7,3,yes,hacking,Business process analyst,Product based,Technical,Applications Developer
Master,JavaScript,Java,CSS,C++,0,9,3,yes,Management,system developer,BPA,Management,Applications Developer
Master,Python,C++,Java,CSS,7,4,3,yes,programming,testing,Sales and Marketing,Management,Applications Developer
Master,Python,HTML,C++,JavaScript,6,8,8,yes,Software Engineering,Business process analyst,BPA,Management,Applications Developer
Bachelor,HTML,Java,Python,JavaScript,7,5,6,no,data engineering,testing,product development,Management,Applications Developer
Master,C++,Python,HTML,Java,9,9,8,no,Computer Architecture,Business process analyst,Product based,Management,Applications Developer
Bachelor,JavaScript,Python,Java,HTML,10,7,1,yes,data engineering,security,Cloud Services,Technical,Applications Developer
Master,JavaScript,Python,HTML,CSS,3,4,2,yes,cloud computing,testing,Testing and Maintainance Services,Technical,Applications Developer
Bachelor,Python,JavaScript,HTML,Java,2,5,1,yes,networks,security,Finance,Management,Applications Developer
Master,Python,JavaScript,HTML,C++,9,6,9,yes,networks,Business process analyst,BPA,Management,Applications Developer
Master,JavaScript,CSS,Python,C++,1,2,5,yes,parallel computing,cloud computing,SAaS services,Management,Applications Developer
Bachelor,JavaScript,Java,Python,C++,2,6,4,no,data engineering,cloud computing,product development,Management,Applications Developer
Bachelor,CSS,HTML,Python,C++,8,8,7,no,programming,cloud computing,Finance,Management,Applications Developer
Master,HTML,CSS,C++,Java,3,8,4,yes,data engineering,system developer,Finance,Management,Applications Developer
Bachelor,Python,JavaScript,Java,HTML,8,9,3,yes,hacking,Business process analyst,Web Services,Technical,Applications Developer
Master,HTML,JavaScript,Python,Java,2,5,3,no,Management,Business process analyst,product development,Management,Applications Developer
Master,JavaScript,Java,C++,CSS,8,2,6,yes,cloud computing,system developer,product development,Management,Applications Developer
Master,CSS,Python,Java,C++,6,9,7,no,networks,system developer,Finance,Management,Applications Developer
Bachelor,JavaScript,Java,C++,CSS,6,4,5,yes,Software Engineering,developer,Sales and Marketing,Technical,Applications Developer
Master,C++,Python,JavaScript,HTML,10+,6,7,yes,Computer Architecture,security,Web Services,Technical,Applications Developer
Master,JavaScript,HTML,Java,CSS,9,7,8,yes,Management,Business process analyst,product development,Technical,Applications Developer
Bachelor,JavaScript,CSS,C++,HTML,6,1,8,yes,hacking,testing,Product based,Management,Applications Developer
Bachelor,JavaScript,HTML,Python,Java,7,7,5,no,Software Engineering,security,Web Services,Management,Applications Developer
Master,Java,JavaScript,HTML,CSS,1,3,1,no,Software Engineering,testing,Sales and Marketing,Management,Applications Developer
Bachelor,Java,JavaScript,CSS,Python,6,1,2,no,networks,testing,Testing and Maintainance Services,Technical,Applications Developer
Master,CSS,HTML,C++,Java,7,1,1,no,IOT,Business process analyst,Product based,Technical,Applications Developer
Master,Java,HTML,Python,CSS,10+,7,7,no,IOT,developer,Web Services,Technical,Applications Developer
Bachelor,CSS,C++,JavaScript,Python,6,4,4,yes,networks,testing,SAaS services,Technical,Applications Developer
Bachelor,CSS,JavaScript,C++,HTML,5,1,9,no,networks,system developer,Finance,Technical,Applications Developer
Bachelor,C++,HTML,CSS,Python,0,7,8,yes,data engineering,security,Cloud Services,Management,Applications Developer
Bachelor,Python,Java,JavaScript,C++,10+,4,1,yes,parallel computing,cloud computing,Product based,Management,Applications Developer
Master,JavaScript,Java,CSS,C++,5,1,2,yes,networks,testing,Testing and Maintainance Services,Management,Applications Developer
Master,Java,JavaScript,CSS,HTML,9,3,9,no,hacking,Business process analyst,Finance,Technical,Applications Developer
Bachelor,Python,Java,JavaScript,CSS,8,6,3,yes,hacking,security,Product based,Technical,Applications Developer
